9081658,586,752,947,359
135626,762,519,593,911
4940747,879,330,155,446
9813126,221,307,720,389
2723564,220,285,580,833
7531849,341,543,437,244
4338875,710,915,204,970
7804675,486,506,311,284
8057989,16,323,541,72
5001835,297,967,464,485
9123817,402,696,731,699
4662596,129,25,118,242
8403820,285,538,520,594
6431837,194,497,366,693
2927854,566,370,454,913
745914,381,370,203,685
6205517,857,237,46,205
4394053,513,451,49,15
8536723,534,394,689,191
2744475,735,447,564,154
8356253,750,486,632,173
1391878,303,504,548,202
6303245,249,602,332,168
8229373,688,454,988,74
4491771,139,812,935,195
4880860,432,122,381,24
9031530,984,709,785,153
1963404,256,756,637,398
7021319,807,565,622,836
345278,1,623,997,334
2116193,493,727,668,307
1787753,13,434,703,556
3541119,844,811,311,965
7728310,128,725,630,84
4336717,904,299,19,485
217297,337,905,907,790
4394100,542,822,624,15
9064112,504,286,402,551
8173071,243,809,687,17
1176750,194,842,303,863
6366290,682,968,161,481
9591652,934,20,299,848
301857,918,139,333,931
600926,738,348,927,224
5392057,485,536,451,319
9091309,377,9,589,292
8314957,694,482,189,859
1620265,660,774,683,234
4979776,95,796,426,859
6077775,452,69,46,913
7484630,90,485,934,344
129912,413,58,622,316
5283071,183,458,36,396
6033939,496,817,487,679
6759099,449,210,918,789
7047401,50,137,319,415
7799627,195,45,958,546
1553875,212,568,640,694
7889345,690,919,994,947
3150236,500,408,91,156
6671589,380,913,368,745
9749139,675,759,537,773
5722635,591,537,21,540
8059934,968,291,607,409
7711721,4,316,212,385
8902980,117,651,314,334
3249509,587,345,115,29
5542325,405,194,693,915
8999870,675,504,621,761
9462764,179,836,932,444
6963514,816,638,410,72
2757444,352,424,136,294
6567352,421,287,460,975
8348022,54,593,145,664
5641896,945,123,185,694
633490,240,623,240,239
6543859,451,11,104,8
8760852,415,606,496,513
6156248,587,478,174,305
4280982,929,837,845,39
2179369,710,454,294,828
9599995,524,250,277,26
1105856,43,813,214,533
8997527,482,818,111,734
5450242,223,59,348,243
3859922,201,955,246,558
4920030,270,112,379,85
7868908,859,119,688,556
4339302,677,713,81,852
6738438,911,564,822,756
9153209,442,204,377,752
3154395,560,117,645,26
8187718,683,277,179,581
9418134,5,512,995,883
2483181,195,63,908,785
